"InvoiceDate";"FullName";"Country";"TotalInvoices";"TotalQty";"TotalDue"
"12/2/2010 9:29";"Sebastian Anderson";"United Kingdom";18;93;313.0
"12/2/2010 9:37";"Brandon Henderson";"United Kingdom";3;30;42.0
"12/2/2010 9:41";"Michelle Hart";"United Kingdom";16;88;244.0
"12/2/2010 9:42";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 9:43";"Sam Allan";"United Kingdom";14;153;249.0
"12/2/2010 9:44";"Michelle Hart";"United Kingdom";15;82;206.0
"12/2/2010 9:44";"Carol Howard";"United Kingdom";17;197;172.0
"12/2/2010 9:44";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 10:09";"Sally Bell";"United Kingdom";12;108;288.0
"12/2/2010 10:10";"Ava Wilson";"United Kingdom";1;72;216.0
"12/2/2010 10:17";"Luke Davidson";"United Kingdom";10;624;1020.0
"12/2/2010 10:17";"Gordon Wilson";"United Kingdom";21;600;812.0
"12/2/2010 10:18";"Gordon Wilson";"United Kingdom";2;48;84.0
"12/2/2010 10:27";"Molly Mitchell";"United Kingdom";23;741;315.0
"12/2/2010 10:35";"Andrew Young";"United Kingdom";10;298;358.0
"12/2/2010 10:37";"Alan Brown";"Germany";1;-2;-18.0
"12/2/2010 10:39";"Carl Wright";"United Kingdom";46;630;614.0
"12/2/2010 10:45";"Felicity Allan";"United Kingdom";22;228;638.0
"12/2/2010 10:46";"Felicity Allan";"United Kingdom";1;6;12.0
"12/2/2010 10:46";"Katherine Rampling";"United Kingdom";1;-2;-30.0
"12/2/2010 10:53";"Simon Walker";"United Kingdom";13;62;286.0
"12/2/2010 10:54";"Michelle Hart";"United Kingdom";16;86;230.0
"12/2/2010 10:55";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 10:56";"Michelle Hart";"United Kingdom";16;88;244.0
"12/2/2010 10:58";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 11:02";"Connor Ellison";"United Kingdom";21;170;307.0
"12/2/2010 11:20";"Stephanie McDonald";"United Kingdom";18;105;220.0
"12/2/2010 11:21";"Neil Bond";"United Kingdom";14;159;202.0
"12/2/2010 11:22";"William Ellison";"United Kingdom";20;246;572.0
"12/2/2010 11:23";"Amanda Newman";"United Kingdom";1;36;108.0
"12/2/2010 11:35";"Neil Bond";"United Kingdom";67;165;250.0
"12/2/2010 11:41";"Chloe Vaughan";"United Kingdom";60;591;1070.0
"12/2/2010 11:45";"Jan Grant";"United Kingdom";16;106;281.0
"12/2/2010 11:46";"Alexander Ross";"United Kingdom";1;1;4.0
"12/2/2010 11:56";"Natalie Avery";"United Kingdom";1;-1;-6.0
"12/2/2010 11:57";"Natalie Avery";"United Kingdom";27;74;231.0
"12/2/2010 12:07";"Owen Davidson";"United Kingdom";6;156;328.0
"12/2/2010 12:09";"Tracey Turner";"United Kingdom";17;254;432.0
"12/2/2010 12:10";"Owen Fisher";"United Kingdom";5;132;156.0
"12/2/2010 12:10";"Sonia Dickens";"United Kingdom";4;40;130.0
"12/2/2010 12:11";"Dylan Greene";"United Kingdom";8;504;288.0
"12/2/2010 12:16";"Carolyn Ince";"United Kingdom";21;122;127.0
"12/2/2010 12:18";"Matt Skinner";"United Kingdom";9;54;209.0
"12/2/2010 12:22";"Vanessa Baker";"United Kingdom";13;46;121.0
"12/2/2010 12:23";"Michelle Hart";"United Kingdom";17;108;380.0
"12/2/2010 12:24";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 12:25";"Michelle Hart";"United Kingdom";17;92;332.0
"12/2/2010 12:26";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 12:28";"Phil Hill";"United Kingdom";16;144;349.0
"12/2/2010 12:33";"David North";"United Kingdom";13;41;205.0
"12/2/2010 12:47";"Andrew Paige";"United Kingdom";26;274;406.0
"12/2/2010 12:50";"Katherine Davidson";"United Kingdom";14;255;373.0
"12/2/2010 12:50";"Andrew Lambert";"United Kingdom";2;-5;-24.0
"12/2/2010 12:58";"Ryan Quinn";"United Kingdom";1;128;256.0
"12/2/2010 12:59";"Ryan Quinn";"United Kingdom";5;1296;648.0
"12/2/2010 13:05";"Max North";"United Kingdom";1;-2;-6.0
"12/2/2010 13:06";"Amelia Walker";"United Kingdom";7;42;89.0
"12/2/2010 13:08";"Warren Oliver";"United Kingdom";11;29;188.0
"12/2/2010 13:08";"Amelia Walker";"United Kingdom";7;67;82.0
"12/2/2010 13:11";"Lisa MacDonald";"United Kingdom";15;130;202.0
"12/2/2010 13:14";"Theresa Greene";"United Kingdom";50;103;200.0
"12/2/2010 13:32";"Fiona Nash";"United Kingdom";35;195;223.0
"12/2/2010 13:36";"Ella Gibson";"United Kingdom";10;137;401.0
"12/2/2010 13:38";"Matt Lewis";"United Kingdom";10;126;372.0
"12/2/2010 13:39";"Robert May";"United Kingdom";13;92;248.0
"12/2/2010 13:44";"Alison Walsh";"United Kingdom";12;75;82.0
"12/2/2010 13:45";"Fiona Duncan";"United Kingdom";5;26;122.0
"12/2/2010 13:49";"Jacob Bailey";"United Kingdom";65;106;354.0
"12/2/2010 14:04";"Michelle Hart";"United Kingdom";19;118;436.0
"12/2/2010 14:05";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 14:06";"Michelle Hart";"United Kingdom";19;104;392.0
"12/2/2010 14:07";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 14:09";"Luke Kerr";"United Kingdom";47;130;217.0
"12/2/2010 14:23";"Kimberly Wilkins";"United Kingdom";1;-9360;0.0
"12/2/2010 14:25";"Joanne Forsyth";"United Kingdom";1;-1;-2.0
"12/2/2010 14:26";"Donna Vaughan";"United Kingdom";17;113;324.0
"12/2/2010 14:29";"Wendy Fisher";"United Kingdom";2;-4;-12.0
"12/2/2010 14:30";"Kylie Dickens";"United Kingdom";7;36;97.0
"12/2/2010 14:40";"Tim Mills";"United Kingdom";19;206;296.0
"12/2/2010 14:42";"Anne Davidson";"United Kingdom";12;331;390.0
"12/2/2010 14:47";"Piers North";"United Kingdom";31;375;716.0
"12/2/2010 14:49";"Piers North";"United Kingdom";7;66;96.0
"12/2/2010 15:00";"Robert Blake";"United Kingdom";5;97;136.0
"12/2/2010 15:03";"Gavin North";"United Kingdom";14;125;176.0
"12/2/2010 15:08";"Sonia Mackay";"United Kingdom";1;1;15.0
"12/2/2010 15:14";"David Scott";"United Kingdom";1;24;48.0
"12/2/2010 15:18";"Anne McDonald";"United Kingdom";27;244;517.0
"12/2/2010 15:19";"Michelle Greene";"United Kingdom";36;2753;3902.0
"12/2/2010 15:20";"Michelle Greene";"United Kingdom";25;1330;2128.0
"12/2/2010 15:22";"Michelle Greene";"United Kingdom";6;1008;2576.0
"12/2/2010 15:23";"Michelle Greene";"United Kingdom";2;144;288.0
"12/2/2010 15:24";"Michelle Hart";"United Kingdom";13;76;190.0
"12/2/2010 15:25";"Michelle Greene";"United Kingdom";1;60;60.0
"12/2/2010 15:25";"Michelle Hart";"United Kingdom";2;12;24.0
"12/2/2010 15:26";"Michelle Hart";"United Kingdom";17;141;524.0
"12/2/2010 15:27";"Michelle Hart";"United Kingdom";2;24;48.0
"12/2/2010 15:28";"Michelle Greene";"United Kingdom";1;24;24.0
"12/2/2010 15:39";"Nicola Hunter";"United Kingdom";11;70;172.0
"12/2/2010 15:40";"Joanne Forsyth";"United Kingdom";4;96;336.0
"12/2/2010 15:40";"Jack Payne";"United Kingdom";7;180;348.0
"12/2/2010 15:46";"Brian Ogden";"United Kingdom";121;176;379.0
"12/2/2010 15:49";"Owen Harris";"United Kingdom";6;56;128.0
"12/2/2010 15:55";"Paul Chapman";"United Kingdom";26;268;559.0
"12/2/2010 16:00";"Dylan Rees";"United Kingdom";18;122;196.0
"12/2/2010 16:12";"Phil Paterson";"United Kingdom";19;190;176.0
"12/2/2010 16:29";"John Glover";"United Kingdom";8;50;208.0
"12/2/2010 16:33";"Eric Ross";"EIRE";1;6;24.0
"12/2/2010 16:34";"Diana Duncan";"United Kingdom";25;531;1672.0
"12/2/2010 16:38";"William Wright";"United Kingdom";20;384;420.0
"12/2/2010 16:42";"Faith Morgan";"United Kingdom";5;84;48.0
"12/2/2010 16:45";"Boris Rees";"United Kingdom";2;-3;-24.0
"12/2/2010 16:46";"Jason Berry";"United Kingdom";12;64;254.0
"12/2/2010 16:48";"Carl Hardacre";"United Kingdom";1;1824;1824.0
"12/2/2010 16:50";"Carl Hardacre";"United Kingdom";1;204;204.0
"12/2/2010 16:51";"Carl Hardacre";"United Kingdom";1;69;552.0
"12/2/2010 16:58";"Owen Davidson";"United Kingdom";6;-852;-1044.0
"12/2/2010 16:59";"Richard Simpson";"United Kingdom";17;230;128.0
"12/2/2010 17:03";"Joseph Reid";"United Kingdom";5;-23;-109.0
"12/2/2010 17:05";"Wendy Randall";"United Kingdom";2;-2;-1.0
"12/2/2010 17:06";"Wendy Randall";"United Kingdom";1;-2;-14.0
"12/2/2010 17:08";"Mary Wilkins";"EIRE";2;-2;-7.0
"12/2/2010 17:09";"Benjamin Robertson";"United Kingdom";1;-1;-1.0
"12/2/2010 17:12";"Maria Wilkins";"United Kingdom";16;178;317.0
"12/2/2010 17:14";"Karen McGrath";"United Kingdom";4;-4;-17.0
"12/2/2010 17:17";"Tracey Ferguson";"United Kingdom";23;80;153.0
"12/2/2010 17:19";"Neil Parsons";"United Kingdom";2;-3;-38.0
"12/2/2010 17:22";"Yvonne Davies";"United Kingdom";3;13;52.0
"12/2/2010 17:24";"Felicity Alsop";"United Kingdom";1;160;480.0
"12/2/2010 17:27";"Pippa Parsons";"United Kingdom";2;-3;-7.0
"12/2/2010 17:30";"Olivia Welch";"United Kingdom";2;-5;-25.0
"12/2/2010 17:31";"John Short";"United Kingdom";1;-3;-21.0
"12/2/2010 17:35";"Kylie Murray";"United Kingdom";2;-4;-14.0
"12/2/2010 17:36";"Jasmine Buckland";"United Kingdom";1;-1;-3.0
"12/2/2010 17:38";"Max Tucker";"United Kingdom";2;4280;1400.0
"12/2/2010 17:40";"Pippa Ferguson";"United Kingdom";4;260;652.0
"12/2/2010 17:41";"Connor Jones";"United Kingdom";8;64;154.0
"12/2/2010 17:48";"Benjamin Skinner";"United Kingdom";29;208;456.0
"12/2/2010 18:06";"Evan Slater";"United Kingdom";1;1;295.0
"12/2/2010 18:08";"Karen McGrath";"United Kingdom";27;133;234.0
"12/2/2010 18:15";"Rose Rutherford";"United Kingdom";27;174;278.0
"12/2/2010 18:23";"Nicholas Graham";"United Kingdom";3;96;24.0
"12/2/2010 18:25";"Lucas Glover";"United Kingdom";13;771;446.0
"12/2/2010 18:27";"Thomas Taylor";"Germany";11;148;202.0
"12/2/2010 18:27";"Natalie Davidson";"United Kingdom";22;174;402.0
"12/2/2010 18:45";"Dorothy Ince";"United Kingdom";11;130;252.0
"12/2/2010 18:46";"Dorothy Ince";"United Kingdom";2;14;32.0
"12/2/2010 18:49";"Mary James";"United Kingdom";3;38;192.0
"12/2/2010 19:18";"Tracey Jones";"United Kingdom";29;45;132.0
"12/2/2010 19:59";"Rose Carr";"United Kingdom";76;134;419.0
"12/3/2010 9:31";"Zoe Churchill";"United Kingdom";9;222;174.0
"12/3/2010 9:39";"John Short";"United Kingdom";3;280;640.0
"12/3/2010 9:45";"Oliver Clark";"United Kingdom";3;106;424.0
"12/3/2010 9:47";"Boris James";"United Kingdom";5;-244;-1268.0
"12/3/2010 9:49";"Colin Pullman";"United Kingdom";15;360;1390.0
"12/3/2010 9:51";"Lucas Hudson";"France";7;107;52.0
"12/3/2010 10:07";"Edward Hudson";"United Kingdom";1;-1;-3.0
"12/3/2010 10:09";"Leah Randall";"United Kingdom";3;-3;-5.0
"12/3/2010 10:11";"Sean Clarkson";"United Kingdom";1;-4;-32.0
"12/3/2010 10:26";"Nathan Glover";"United Kingdom";39;343;720.0
"12/3/2010 10:33";"Connor Jackson";"United Kingdom";17;54;119.0
"12/3/2010 10:36";"Evan White";"Switzerland";6;110;322.0
"12/3/2010 10:43";"Jonathan Ogden";"United Kingdom";23;184;302.0
"12/3/2010 10:43";"Claire Fraser";"United Kingdom";10;108;267.0
"12/3/2010 10:44";"Evan Nolan";"Germany";10;79;328.0
"12/3/2010 11:19";"Sarah Churchill";"United Kingdom";48;80;113.0
"12/3/2010 11:35";"Nicholas Lewis";"United Kingdom";68;91;226.0
"12/3/2010 11:42";"Joan Walsh";"United Kingdom";3;5;40.0
"12/3/2010 11:48";"Mary Wilkins";"EIRE";3;1548;108.0
"12/3/2010 12:05";"Boris Dickens";"United Kingdom";14;464;1632.0
"12/3/2010 12:11";"Gavin Buckland";"United Kingdom";28;170;155.0
"12/3/2010 12:20";"Liam Kerr";"Spain";5;400;600.0
"12/3/2010 12:24";"Diana Lyman";"United Kingdom";63;174;272.0
"12/3/2010 12:28";"Wanda Watson";"United Kingdom";29;363;866.0
"12/3/2010 12:29";"Wanda Watson";"United Kingdom";36;423;639.0
"12/3/2010 12:41";"Nathan Hardacre";"United Kingdom";1;100;400.0
"12/3/2010 12:43";"Oliver Russell";"United Kingdom";15;93;305.0
"12/3/2010 12:43";"Nathan Hardacre";"United Kingdom";13;234;816.0
"12/3/2010 12:48";"Audrey Harris";"United Kingdom";14;125;225.0
"12/3/2010 12:57";"Trevor Butler";"Germany";2;31;78.0
"12/3/2010 13:09";"Dominic Quinn";"United Kingdom";2;168;552.0
"12/3/2010 13:10";"Dominic Quinn";"United Kingdom";1;192;576.0
"12/3/2010 13:12";"Edward White";"United Kingdom";1;120;1320.0
"12/3/2010 13:40";"Hannah Walsh";"Poland";8;140;236.0
"12/3/2010 13:42";"Katherine Walsh";"United Kingdom";14;35;235.0
"12/3/2010 13:43";"Brandon Slater";"United Kingdom";31;356;752.0
"12/3/2010 13:59";"Angela Short";"France";16;132;344.0
"12/3/2010 14:04";"Eric Ross";"EIRE";70;815;1637.0
"12/3/2010 14:18";"Warren Davies";"United Kingdom";19;76;150.0
"12/3/2010 14:18";"Paul Johnston";"United Kingdom";14;60;118.0
"12/3/2010 14:19";"Paul Johnston";"United Kingdom";1;-1;-10.0
"12/3/2010 14:23";"Carl Forsyth";"United Kingdom";2;-2;-6.0
"12/3/2010 14:26";"Peter Walsh";"United Kingdom";12;239;619.0
"12/3/2010 14:26";"Warren Davies";"United Kingdom";24;39;102.0
"12/3/2010 14:30";"Victor Lee";"Germany";9;60;185.0
"12/3/2010 14:35";"Carl Forsyth";"United Kingdom";28;130;303.0
"12/3/2010 14:40";"Jason Graham";"United Kingdom";11;42;341.0
"12/3/2010 14:40";"Benjamin Simpson";"United Kingdom";7;104;134.0
"12/3/2010 14:54";"Julian Skinner";"United Kingdom";53;124;278.0
"12/3/2010 15:05";"Piers Cameron";"United Kingdom";38;100;242.0
"12/3/2010 15:10";"Piers Cameron";"United Kingdom";22;26;116.0
"12/3/2010 15:14";"Jack McLean";"Portugal";7;65;138.0
"12/3/2010 15:16";"Virginia Howard";"United Kingdom";1;36;108.0
"12/3/2010 15:19";"Donna Howard";"United Kingdom";34;39;115.0
"12/3/2010 15:25";"Maria Langdon";"United Kingdom";3;18;101.0
"12/3/2010 15:45";"Fiona Chapman";"Italy";24;164;414.0
"12/3/2010 16:02";"Dan Welch";"United Kingdom";25;64;108.0
"12/3/2010 16:21";"Luke Davidson";"United Kingdom";1;-36;-72.0
"12/3/2010 16:35";"Liam Knox";"Belgium";12;528;254.0
"12/3/2010 16:44";"Leah Mathis";"United Kingdom";13;142;248.0
"12/3/2010 16:45";"Leah Mathis";"United Kingdom";6;108;108.0
"12/3/2010 17:20";"Joe Wilkins";"United Kingdom";72;1326;2424.0
"12/3/2010 17:21";"Joe Wilkins";"United Kingdom";1;8;8.0
"12/3/2010 17:28";"Kevin Welch";"United Kingdom";31;75;130.0
"12/5/2010 10:03";"Gordon Nolan";"United Kingdom";11;92;262.0
"12/5/2010 10:12";"Adam Graham";"United Kingdom";7;125;576.0
"12/5/2010 10:25";"Sophie Wilson";"United Kingdom";3;-3;-8.0
"12/5/2010 10:27";"Boris Sutherland";"United Kingdom";2;192;672.0
"12/5/2010 10:36";"Ryan Wilson";"United Kingdom";26;52;163.0
"12/5/2010 10:45";"David Greene";"United Kingdom";51;82;228.0
"12/5/2010 10:48";"Zoe Oliver";"United Kingdom";2;-7;-14.0
"12/5/2010 10:52";"Stewart Forsyth";"United Kingdom";19;93;440.0
"12/5/2010 10:54";"John Burgess";"United Kingdom";35;46;127.0
"12/5/2010 10:58";"Karen Welch";"United Kingdom";14;55;284.0
"12/5/2010 11:02";"Melanie Poole";"United Kingdom";41;181;346.0
"12/5/2010 11:03";"Melanie Poole";"United Kingdom";2;2;6.0
"12/5/2010 11:04";"Emily Taylor";"United Kingdom";14;97;279.0
"12/5/2010 11:10";"Yvonne Ogden";"United Kingdom";51;437;564.0
"12/5/2010 11:12";"Sophie Wilson";"United Kingdom";42;158;340.0
"12/5/2010 11:15";"Sally Murray";"United Kingdom";4;208;464.0
"12/5/2010 11:38";"Tim Butler";"United Kingdom";3;124;264.0
"12/5/2010 11:40";"Oliver Clarkson";"United Kingdom";41;82;158.0
"12/5/2010 11:45";"Charles Robertson";"United Kingdom";15;107;276.0
"12/5/2010 11:49";"Zoe Oliver";"United Kingdom";50;128;287.0
"12/5/2010 11:51";"Joan Duncan";"United Kingdom";11;191;347.0
"12/5/2010 11:54";"Jake Gray";"United Kingdom";24;59;124.0
"12/5/2010 11:57";"Luke Springer";"France";63;611;1520.0
"12/5/2010 11:57";"Jake Gray";"United Kingdom";6;8;29.0
"12/5/2010 11:59";"Nicholas Brown";"United Kingdom";26;163;193.0
"12/5/2010 12:00";"Rebecca Bower";"Lithuania";25;442;1194.0
"12/5/2010 12:01";"Rebecca Bower";"Lithuania";8;168;496.0
